feature_id,L30,S30,W30,feature_frequency
1ed8a7d20318ed958c8c513ad05a1cf5,0.0,0.0,1.0,3.0
1ef72a7827ffc8ca8d5c73eaeffce578,0.0,1.0,1.0,1392.0
1f0c6e60b6c31762688bebab65b81986,1.0,1.0,1.0,2119.0
1f37e19c844e9bd8878b16056a44d9b4,1.0,1.0,1.0,1807.0
1f4df6909488a6bf7bb58851bf34c35a,0.0,0.0,1.0,3.0
1f63d6ea8a1479c89ca3b4015aa55108,1.0,0.0,0.0,21.0
1f862c84f0da9435f57a9d6b5788abb1,0.0,0.0,1.0,4.0
1f9605d143bd849228b889f2561b4194,1.0,0.0,0.0,2.0
1fd1500e4c5c706f03568abdb15b5879,0.0,1.0,0.0,7.0
1ff4cae32605825e3b82e68137a38101,0.0,1.0,1.0,59.0
202b53aaa5d54a92df25e3f2a6c79579,0.0,0.0,1.0,38.0
20498a8e3b02eaefd2ad676c08e833f1,0.0,1.0,1.0,3188.0
20814b94c89ed520ca03cc4e0f84af1d,0.0,0.0,1.0,91.0
2094ab4203377244893cf30fbacd2b1d,0.0,0.0,1.0,4.0
209a86b537c8681cff1e099f20d6a13e,0.0,1.0,1.0,153.0
20c26828afe6628a826b65a2f1404cb1,0.0,1.0,0.0,7.0
20cab25220eae60d3845c77fefc3fb49,1.0,1.0,1.0,1216.0
20d5777fe83114b231235a45ffe9bf9c,0.0,1.0,1.0,23.0
20fc5f6eaf220335c0236bb86b00e332,0.0,0.0,1.0,4.0
211132e393f21da08ce97d03f035973f,0.0,1.0,0.0,6.0
2117e064d44cb150e02146ba4128ba53,1.0,0.0,0.0,5.0
2127256861d883ab672e978c5fb63764,0.0,1.0,0.0,32.0
212bb07d906f1f3537f0501fa004a3fd,0.0,1.0,1.0,484.0
2167e952f62be2408f5e22d882263a10,0.0,1.0,0.0,3.0
21820febb5915e749e96de289881340c,0.0,1.0,1.0,199.0
21b98c7df61902a10c8c0140a56ce57b,0.0,1.0,1.0,1825.0
21ba0518d7d6f089269d9ce8a8b0835c,1.0,0.0,1.0,247.0
221d14b7cea8f20d54c1edeb2515fb02,0.0,1.0,0.0,27.0
225517f1218e42edda4a51acc1a627a5,0.0,0.0,1.0,116.0
228631ac99bbc576e5cddd1f85d49d34,0.0,0.0,1.0,2.0
22a3654863779e841d1c4d474f5982e6,1.0,1.0,1.0,2003.0
22d7d0d274a6e1641498bca8e4c655d1,0.0,1.0,1.0,269.0
22dfe3eae0528ad45711e4061fae38f5,0.0,0.0,1.0,2.0
22ffcca87723fcdaf6ba868e2b1b4e17,0.0,1.0,0.0,3.0
2300a059aca7aa7cb32f786f7fb9d065,0.0,1.0,1.0,3236.0
2319f5c365f81c6d76cdaebc4c4a882f,1.0,1.0,1.0,21269.0
234e32785256a6771ae89b58316938a1,0.0,1.0,1.0,4500.0
236b838dd8113d20864e87642db7c8af,1.0,0.0,0.0,24.0
238105a6d48e89ac97cd8bda81a57b54,0.0,1.0,1.0,585.0
23a7b06d0eac7f49b2fbcb48a2a77423,0.0,1.0,0.0,4.0
23cf228962ebb0283d2eee4e3a84729d,1.0,0.0,1.0,107.0
24111e54b9212951ce4528a4b704f683,0.0,1.0,1.0,9114.0
24415ddc9cc2e1ac185f04d39ec5224a,0.0,1.0,1.0,784.0
24e295ca64def614e0b08ae474d2de04,0.0,1.0,1.0,179.0
24e35dc7376c08954c121bd530382ebc,1.0,1.0,1.0,15546.0
25061154de488483d3c64774f75d6ce1,0.0,0.0,1.0,116.0
2508d84a6943d63862dbef036fa44297,0.0,1.0,0.0,3.0
250f8968e9bf8a51c2e1bb21515c3323,0.0,0.0,1.0,2.0
253b5837c0a1910622ac1bda89f4bb21,0.0,0.0,1.0,5.0
2545f25de83687114981c65463221d77,0.0,0.0,1.0,2.0
25668c0238f943ae425391ec3054a4d0,0.0,0.0,1.0,299.0
2569fc58a228d0f281874635cc9955e1,1.0,1.0,1.0,31690.0
258fee67628e48a58f598c6ba8ae22eb,0.0,1.0,0.0,376.0
25964ce3f38e8e7d6415aad32e2f6419,0.0,1.0,0.0,20.0
2599c1a1ee9d84fc1ce620e0d926eac9,0.0,1.0,0.0,191.0
25bf0c3724e362b07b8cc8b78bf48741,0.0,1.0,0.0,17.0
25cacdd43d9e20f38e5270ff8dfad15b,0.0,1.0,0.0,4.0
25d091a165ce791a2a7b9b7e29e7e78f,0.0,1.0,1.0,51.0
25e6792de5744a548ae6406d8d54e134,0.0,1.0,0.0,2.0
25f1c1b24a8fe2178e8a3258acb1a5cd,0.0,0.0,1.0,25.0
261b64bbd82dafc2c39ad54e1d1a430f,1.0,1.0,1.0,198.0
262aca18732d5c19ba9f205d2dfdaf16,0.0,0.0,1.0,45.0
26644cc0e79e9bfb298835668d500d90,1.0,0.0,0.0,4.0
26828434caf4a0ed5f26206477128749,0.0,1.0,0.0,2.0
2690a04464a31574891166dde09583b5,1.0,1.0,1.0,98.0
26a220f30e8708999553f0cbaf5f19df,1.0,0.0,0.0,3.0
26c69b58ba632a8d417e6558379713ed,0.0,1.0,0.0,2.0
270af1d939080d6f1ca06bd4bb07910c,0.0,1.0,1.0,3468.0
270b156225666eeb231338cd8a88f623,1.0,0.0,1.0,2508.0
270b64561e30dcc8e7f3fa55f1bf64f4,1.0,1.0,1.0,4393.0
270feea4754931d14a4c27d23e9ae58a,1.0,0.0,1.0,20.0
27121945af164f7791bfe0d28adcfe39,1.0,1.0,0.0,294.0
272730c590f00618e99678e0f4a1bc16,0.0,1.0,0.0,2.0
27446fe53b569ff449ddf4b3cfb88564,1.0,0.0,0.0,96.0
27986f39aafe523827a337379d0977e3,0.0,1.0,1.0,102.0
27b859ec85595c64b688b84e7638201b,0.0,1.0,1.0,116.0
27d0e2d5aaf04156ef911facf1a4c9fd,0.0,0.0,1.0,3.0
280a17e67515400fd359dffe71948fb5,1.0,1.0,1.0,640.0
28472a551e91d20efc23e11c3c0489b1,0.0,1.0,0.0,2.0
28681dd786bba6b6fde1bcc26b862fda,0.0,0.0,1.0,22.0
2894bd66b97485836287813d40f3bfe4,0.0,0.0,1.0,13.0
289fb41c829e4d42130c492951ee29c8,0.0,1.0,0.0,3.0
28e050e18ef4666dacfc1b16b5c86252,0.0,1.0,1.0,1270.0
28e6aa5b33af2a577496f2325acda24b,0.0,1.0,1.0,24.0
29338a3814d4366a5f575818b92e264a,0.0,1.0,1.0,833.0
2944650b0f7b8db7b3941ea900920f76,1.0,1.0,1.0,373.0
294a779a585f15ce297a86c91821e77b,0.0,1.0,1.0,2651.0
29521f74cf21d9d5e6d93495ec6380ab,1.0,0.0,1.0,802.0
29689715fec79e515e6210431c7fd28c,1.0,0.0,1.0,1085.0
29773bfdf1daa07764938772ed7e38e7,0.0,1.0,1.0,3199.0
2983438e2b03eb1c22c5b4d99292e6cb,0.0,1.0,1.0,8652.0
29893e650504a74fb4147dfe87b599d8,0.0,1.0,1.0,177.0
2997f1920aefbb91632b549f2538b73b,1.0,1.0,1.0,15941.0
29bb41f4c0824e1a8fd3f8ed67517c43,0.0,1.0,0.0,2.0
29cff5c076d20a8687e5c97442df35e8,0.0,0.0,1.0,7.0
29d2b956bf7239727c7edc57e6d0fb9d,0.0,1.0,0.0,5.0
29e147348364f25451b2729361ae568f,1.0,1.0,1.0,5772.0
2a18bb2543385abb2db414ea9d0dbd70,1.0,1.0,1.0,166.0
2a1d70da734c4a8963d9c9b7db633627,1.0,0.0,0.0,3.0
2a25dbd981ed5592961fd03ce99506e5,1.0,1.0,0.0,209.0
2a28739b3218cdd4c006bd5c39ceb124,0.0,1.0,1.0,9199.0
2a7a47f4e6c945367136cfd8310296c2,1.0,1.0,1.0,6790.0
2ab06196ad7bdcf448e4b0089397c938,0.0,1.0,0.0,2.0
2ae8bde144b8d57243d0ae45529e5742,0.0,0.0,1.0,111.0
2af2670bdee517ce13cf5265c55b427c,0.0,1.0,1.0,5174.0
2b02c15dc11ac9a09039e2c3104ec3d9,1.0,0.0,0.0,18.0
2b0fbc4740d363c2a180bfd3d9a8b649,0.0,1.0,0.0,2.0
2b238c007f967d5651ae45742f1bbb2b,1.0,0.0,0.0,36.0
2b2721a32cca65892abaece8bf4135db,0.0,1.0,1.0,10.0
2b50fb6e93c0399699267dabdcf1e4c6,1.0,0.0,1.0,23.0
2b6269ee35aa3b99e06d81f51f9e7fe1,0.0,1.0,0.0,3.0
2b7cd9574edda19cbe5973a4428db74b,0.0,1.0,1.0,1785.0
2bedf9011346907fd830796f254c69ea,0.0,0.0,1.0,3.0
2bfe902334460beda155aa25b9f80f9b,0.0,1.0,0.0,73.0
2c0b0d14754b934c21f8176dd0cb461f,1.0,0.0,0.0,7.0
2c4a5011c864c8a8fcfe18cd227ebd69,1.0,1.0,1.0,332.0
2c58fb3cd7af382778c7aac4d37b9b6a,1.0,0.0,0.0,21.0
2c78ed8aad4663b972e790c12ed9d281,0.0,1.0,0.0,2.0
2c7bffd0168777d0e53c65160ac840f0,1.0,1.0,1.0,2937.0
2c8e0b8eb75c7455fe9f2af250f2c63e,0.0,1.0,1.0,212.0
2caf0d2fe566618906cafcacc8d7c912,0.0,0.0,1.0,2.0
2cc74e3fa94ca62c938cf8de09c52427,1.0,1.0,1.0,48785.0
2cd7cd288612be09151f354ff426abdc,0.0,0.0,1.0,2.0
2ceb4d5ddf33535dcebdd214c1078e4e,0.0,1.0,0.0,2.0
2d0651ce2d8be30fe546baa6bf09d1b9,1.0,0.0,0.0,5.0
2d335f635c909563efdc05b90470d5f0,0.0,1.0,1.0,219.0
2d5071a6009a8bf747b86a502e7ce4b8,1.0,0.0,0.0,587.0
